index,hora,clave,empleado_clave,grupo,salon,dia
161,N4,328,16119,009,7101,2
162,M4,401,85007,006,2202,4
163,V4,411,104105,010,7117,4
164,N6,503,95998,013,2205,1
165,N6,503,95998,013,2205,3
166,N6,503,95998,013,2205,5
167,N4,512,100107,007,9102,4
168,M4,081,95958,005,5303,1
169,M4,081,95958,005,5303,3
170,M4,081,95958,005,5303,5
171,M4,103,84614,018,9303,2
172,M6,603,93248,040,9304,1
173,M6,603,93248,040,9304,3
174,M6,603,93248,040,9304,5
175,M5,815,96544,003,4112,1
176,M5,815,96544,003,4112,3
177,M5,815,96544,003,4112,5
178,N1,772,19378,007,sab,6
179,N1,930,938,006,SS,6
180,N4,114,93604,017,9201,2
181,N4,611,95508,034,2106,1
182,N4,611,95508,034,2106,3
183,N4,611,95508,034,2106,5
184,N2,816,93249,012,INFB,1
185,N2,816,93249,012,INFB,3
186,N2,816,93249,012,INFB,5
187,N6,828,93603,013,4201,1
188,N6,828,93603,013,4201,3
189,N6,828,93603,013,4201,5
190,N3,841,93603,013,4201,1
191,N3,841,93603,013,4201,3
192,N3,841,93603,013,4201,5
193,N3,842,102500,008,4200,4
194,N4,256,95167,001,9205,2
195,N2,506,86183,003,LLUB,1
196,N2,506,86183,003,LLUB,3
197,N2,506,86183,003,LLUB,5
198,V3,930,19378,024,ss1,6
199,M1,040,93994,002,1304,2
200,M1,103,100759,006,4106,6
201,M2,104,92552,002,4102,1
202,M2,104,92552,002,4102,3
203,M2,104,92552,002,4102,5
204,M1,501,16118,002,1303,4
205,M3,701,94864,001,5105,1
206,M3,701,94864,001,5105,3
207,M3,701,94864,001,5105,5
208,M1,729,101856,019,7222,1
209,M1,729,101856,019,7222,3
210,M1,729,101856,019,7222,5
211,M1,775,83244,001,5301,1
212,M1,775,83244,001,5301,3
213,M1,775,83244,001,5301,5
214,V4,100,96633,064,1305,4
215,N4,327,84480,008,2102,4
216,M1,405,84844,024,1105,2
217,N4,602,93694,045,3207,1
218,N4,602,93694,045,3207,3
219,N4,602,93694,045,3207,5
220,N6,611,93241,038,6202,1
221,N6,611,93241,038,6202,3
222,N6,611,93241,038,6202,5
223,M4,800,19336,013,4203,2
224,N2,003,95411,045,2105,1
225,N2,003,95411,045,2105,3
226,N2,003,95411,045,2105,5
227,N1,105,18798,014,1301,4
228,N4,400,97262,048,3301,2
229,N6,602,94965,049,2301,1
230,N6,602,94965,049,2301,3
231,N6,602,94965,049,2301,5
232,N4,604,2369,041,2203,1
233,N4,604,2369,041,2203,3
234,N4,604,2369,041,2203,5
235,N3,606,96896,038,3107,1
236,N3,606,96896,038,3107,3
237,N3,606,96896,038,3107,5
238,N4,800,97710,047,3108,4
239,N2,006,fi0073,035,1203,1
240,N2,006,fi0073,035,1203,3
241,N2,006,fi0073,035,1203,5
242,N1,114,93604,016,2201,4
243,M2,137,17097,003,5301,1
244,M2,137,17097,003,5301,3
245,M2,137,17097,003,5301,5
246,N1,139,16918,009,3101,1
247,N1,139,16918,009,3101,3
248,N1,139,16918,009,3101,5
249,N5,168,96969,008,4200,1
250,N5,168,96969,008,4200,3
251,N5,168,96969,008,4200,5
252,N4,804,95545,007,1202,2
253,N4,809,85112,007,4200,1
254,N4,809,85112,007,4200,3
255,N4,809,85112,007,4200,5
256,N3,819,85112,007,3103,1
257,N3,819,85112,007,3103,3
258,N3,819,85112,007,3103,5
259,N5,020,91453,029,9202,1
260,N5,020,91453,029,9202,3
261,N5,020,91453,029,9202,5
262,N3,081,101084,033,1104,1
263,N3,081,101084,033,1104,3
264,N3,081,101084,033,1104,5
265,M3,112,83639,002,4103,1
266,M3,112,83639,002,4103,3
267,M3,112,83639,002,4103,5
268,N4,113,92170,008,4107,4
269,N4,114,93604,020,9202,1
270,N4,114,93604,020,9202,3
271,N4,114,93604,020,9202,5
272,N6,138,97857,012,9201,1
273,N6,138,97857,012,9201,3
274,N6,138,97857,012,9201,5
275,N4,745,93999,005,1302,2
276,N4,106,95515,003,4106,2
277,N1,306,97325,003,9301,1
278,N1,306,97325,003,9301,3
279,N1,306,97325,003,9301,5
280,N2,307,84480,002,9205,1
281,N2,307,84480,002,9205,3
282,N2,307,84480,002,9205,5
283,N3,308,92155,008,LSUB,1
284,N3,308,92155,008,LSUB,3
285,N3,308,92155,008,LSUB,5
286,M4,315,233,001,LLIN,2
287,N4,524,95181,009,7117,1
288,N4,524,95181,009,7117,3
289,N4,524,95181,009,7117,5
290,N1,001,6689,039,3301,1
291,N1,001,6689,039,3301,3
292,N1,001,6689,039,3301,5
293,M4,003,95958,016,5314,2
294,N3,500,102958,029,2302,1
295,N3,500,102958,029,2302,3
296,N3,500,102958,029,2302,5
297,V3,603,84455,014,1105,1
298,V3,603,84455,014,1105,3
299,V3,603,84455,014,1105,5
300,M1,604,95182,001,1105,1
301,M1,604,95182,001,1105,3
302,M1,604,95182,001,1105,5
303,M6,800,96156,049,3108,1
304,M6,800,96156,049,3108,3
305,M6,800,96156,049,3108,5
306,V3,112,18306,007,4108,1
307,V3,112,18306,007,4108,3
308,V3,112,18306,007,4108,5
309,N4,493,92466,021,5101,1
310,N4,493,92466,021,5101,3
311,N4,493,92466,021,5101,5
312,N5,930,11668,028,ss9,6
313,N3,081,91453,032,6302,1
314,N3,081,91453,032,6302,3
315,N3,081,91453,032,6302,5
316,V6,117,95337,006,4107,1
317,V6,117,95337,006,4107,3
318,V6,117,95337,006,4107,5
319,N6,406,94865,007,7107,1
320,N6,406,94865,007,7107,3
321,N6,406,94865,007,7107,5
322,N4,414,85007,006,LVIB,2
323,N2,611,95508,031,6202,1
324,N2,611,95508,031,6202,3
325,N2,611,95508,031,6202,5
326,N5,810,91451,006,infb,1
327,N5,810,91451,006,infb,3
328,N5,810,91451,006,infb,5
329,N4,820,12776,005,421T,2
330,V3,105,92552,010,4103,1
331,V3,105,92552,010,4103,3
332,V3,105,92552,010,4103,5
333,M4,150,95822,006,4108,1
334,M4,150,95822,006,4108,3
335,M4,150,95822,006,4108,5
336,N6,744,93999,005,1103,1
337,N6,744,93999,005,1103,3
338,N6,744,93999,005,1103,5
339,N5,772,19378,022,4444,2
340,M5,817,83639,002,4106,1
341,M5,817,83639,002,4106,3
342,M5,817,83639,002,4106,5
343,N4,081,97371,039,9202,4
344,N3,201,102027,006,1204,1
345,N3,201,102027,006,1204,3
346,N3,201,102027,006,1204,5
347,N5,309,92155,003,LSUB,1
348,N5,309,92155,003,LSUB,3
349,N5,309,92155,003,LSUB,5
350,N2,310,9221,003,LME1,1
351,N2,310,9221,003,LME1,3
352,N2,310,9221,003,LME1,5
353,N4,313,5726,004,LME-3,1
354,N4,313,5726,004,LME-3,3
355,N4,313,5726,004,LME-3,5
356,N6,331,17312,007,LME2,1
357,N6,331,17312,007,LME2,3
358,N6,331,17312,007,LME2,5
